Date Collected,Season,Sample ID,Habitat,Weightdip1 (g),Weightdip2 (g),Hair Net Weight (g),Clod Volume (mL),Weightoven (g),Weightrocks (g),Soil Density g/mL,Percent C (%),Percent N (%),Total C (g/m2),Total N (g/m2),Notes
5/2/2017,Spring,EAT-NNG-01-SP17,Non-Native Grassland,37.938,39.595,0.456,38.5,38.44,6.615,0.73155772,1.55,0.08,1133.914466,58.5246176,
5/2/2017,Spring,EAT-NNG-02-SP17,Non-Native Grassland,77.566,79.752,0.417,54,78.812,25.565,0.898415662,1.96,0.12,1760.894697,107.8098794,
5/2/2017,Spring,EAT-NNG-03-SP17,Non-Native Grassland,38.364,38.878,0.438,26,38.236,6.775,1.154584936,1.32,0.09,1524.052116,103.9126443,
5/2/2017,Spring,EAT-NNG-04-SP17,Non-Native Grassland,181.9,190.4,0.435,146.5,188,20.367,1.02674245,1.45,0.1,1488.776552,102.674245,
5/2/2017,Spring,EAT-NNG-05-SP17,Non-Native Grassland,44.858,46.739,0.463,38.5,45.564,6.292,0.913070515,1.83,0.14,1670.919043,127.8298721,
5/2/2017,Spring,EAT-NNG-06-SP17,Non-Native Grassland,105.9,108.4,0.378,77.5,107.2,19.848,1.058497227,2.04,0.13,2159.334342,137.6046394,
4/13/2017,Spring,VOR-CSS-01-SP17,Coastal Sage Scrub,44.32,45.049,0.414,28,44.287,4.048,1.371380883,0.87,0.05,1193.101368,68.56904414,
4/13/2017,Spring,VOR-CSS-02-SP17,Coastal Sage Scrub,13.956,14.254,0.389,8,13.774,4.48,1.042771205,0.86,0.05,896.7832359,52.13856023,
4/13/2017,Spring,VOR-CSS-03-SP17,Coastal Sage Scrub,19.344,19.74,0.425,13,19.127,3.334,1.124137873,0.81,0.05,910.5516772,56.20689366,
4/13/2017,Spring,VOR-CSS-04-SP17,Coastal Sage Scrub,26.46,26.917,0.379,16,26.331,3.974,1.318259339,3.38,0.19,4455.716565,250.4692744,
4/13/2017,Spring,VOR-CSS-05-SP17,Coastal Sage Scrub,22.183,22.584,0.416,14,22.014,5.678,1.082052945,2.41,0.16,2607.747598,173.1284712,
4/13/2017,Spring,VOR-CSS-06-SP17,Coastal Sage Scrub,53.232,53.976,0.37,28,53.181,8.952,1.514227359,0.63,0.04,953.9632362,60.56909436,
4/13/2017,Spring,VOR-NNG-01-SP17,Non-Native Mustard,58.913,60.845,0.393,48,59.884,7.035,1.013734084,1.07,0.09,1084.69547,91.23606758,
4/13/2017,Spring,VOR-NNG-02-SP17,Non-Native Mustard,66.347,68.746,0.408,50,67.699,10.458,1.042285745,1.97,0.13,2053.302918,135.4971469,
4/13/2017,Spring,VOR-NNG-03-SP17,Non-Native Mustard,39.472,40.218,0.411,24,39.504,4.593,1.376741018,0.84,0.05,1156.462455,68.83705089,
4/13/2017,Spring,VOR-NNG-04-SP17,Non-Native Mustard,63.729,65.936,0.447,48,65.009,9.306,1.060632109,1.6,0.11,1697.011374,116.669532,
4/13/2017,Spring,VOR-NNG-05-SP17,Non-Native Mustard,67.898,70.888,0.399,60,69.866,6.646,0.948882779,2.05,0.13,1945.209697,123.3547613,
4/13/2017,Spring,VOR-NNG-06-SP17,Non-Native Mustard,82.678,84.948,0.384,60,83.944,9.36,1.161969946,1.17,0.08,1359.504836,92.95759564,
4/14/2017,Spring,BFS-CSS-07-SP17,Coastal Sage Scrub,46.512,47.872,0.382,33,47.29,6.705,1.136991282,1.3,0.06,1478.088667,68.21947694,
4/14/2017,Spring,BFS-CSS-08-SP17,Coastal Sage Scrub,13.867,14.312,0.403,9,13.81,1.376,1.242928063,2,0.12,2485.856127,149.1513676,
4/14/2017,Spring,BFS-CSS-09-SP17,Coastal Sage Scrub,20.632,21.583,0.443,18,20.983,2.213,0.916121678,3.39,0.2,3105.652487,183.2243355,
4/14/2017,Spring,BFS-CSS-11-SP17,Coastal Sage Scrub,72.13,74.495,0.458,62,72.326,5.321,0.999484743,1.92,0.11,1919.010706,109.9433217,
4/14/2017,Spring,BFS-CSS-12-SP17,Coastal Sage Scrub,37.798,38.566,0.392,28,38.063,2.033,1.218826646,0.76,0.04,926.3082509,48.75306584,
4/14/2017,Spring,BFS-CSS-14-SP17,Coastal Sage Scrub,38.148,38.85,0.383,25,38.37,8.375,1.129203151,1.25,0.07,1411.503938,79.04422054,
4/14/2017,Spring,BFS-NNG-01-SP17,Non-Native Grassland,44.79,45.967,0.383,29,45.445,9.728,1.138313148,1.28,0.09,1457.04083,102.4481833,
4/14/2017,Spring,BFS-NNG-02-SP17,Non-Native Grassland,40.837,42.09,0.594,29,41.181,12.322,0.890549979,1.02,0.07,908.3609787,62.33849854,
4/14/2017,Spring,BFS-NNG-03-SP17,Non-Native Grassland,26.811,27.653,0.43,20,27.102,4.838,1.009606126,1.46,0.1,1474.024944,100.9606126,
4/14/2017,Spring,BFS-NNG-04-SP17,Non-Native Grassland,161.6,165.5,0.436,105,164.011,70.278,0.814962849,1.29,0.09,1051.302075,73.34665639,
4/14/2017,Spring,BFS-NNG-05-SP17,Non-Native Grassland,83.634,85.88,0.429,55,84.715,37.66,0.767286464,1.21,0.07,928.4166217,53.71005249,
4/14/2017,Spring,BFS-NNG-06-SP17,Non-Native Grassland,23.635,24.154,0.408,17,23.448,4.987,1.003368547,2.07,0.14,2076.972892,140.4715966,
4/11/2017,Spring,CH-CSS-01-SP17,Coastal Sage Scrub,66.826,69.87,0.405,70,68.633,4.298,0.827956487,1.79,0.11,1482.042111,91.07521354,
4/11/2017,Spring,CH-CSS-02-SP17,Coastal Sage Scrub,43.335,44.604,0.365,36,43.926,2.354,1.075364635,1.89,0.12,2032.43916,129.0437562,
4/11/2017,Spring,CH-CSS-03-SP17,Coastal Sage Scrub,51.397,52.903,0.399,42,52.15,1.515,1.125536924,2.89,0.18,3252.80171,202.5966463,
4/11/2017,Spring,CH-CSS-04-SP17,Coastal Sage Scrub,71.245,72.969,0.417,52,72.193,4.33,1.23152121,1.6,0.11,1970.433936,135.4673331,
4/11/2017,Spring,CH-CSS-05-SP17,Coastal Sage Scrub,108,111.6,0.398,94,110.4,4.068,1.05123084,4.89,0.33,5140.518806,346.9061771,
4/11/2017,Spring,CH-CSS-06-SP17,Coastal Sage Scrub,100.8,103.1,0.415,72,102.3,4.593,1.287929357,3.84,0.28,4945.648729,360.6202199,
4/11/2017,Spring,CH-NNG-01-SP17,Non-Native Grassland,29.685,30.487,0.591,22,29.62,1.074,1.200610099,1.8,0.13,2161.098178,156.0793129,
4/11/2017,Spring,CH-NNG-02-SP17,Non-Native Grassland,29.71,30.473,0.373,23,29.895,0.888,1.180174761,1.71,0.13,2018.098841,153.4227189,
4/11/2017,Spring,CH-NNG-03-SP17,Non-Native Grassland,138.2,140.6,0.369,93,139.6,14.931,1.285341547,1.92,0.14,2467.85577,179.9478166,
4/11/2017,Spring,CH-NNG-04-SP17,Non-Native Grassland,48.503,49.733,0.376,40,48.891,3.893,1.055250366,2.66,0.2,2806.965973,211.0500732,
4/11/2017,Spring,CH-NNG-05-SP17,Non-Native Grassland,21.284,21.583,0.433,13,20.99,2.124,1.374102082,1.24,0.08,1703.886581,109.9281665,
4/11/2017,Spring,CH-NNG-06-SP17,Non-Native Grassland,157,159.9,0.383,108,158.5,18.885,1.235982732,1.11,0.08,1371.940833,98.87861858,
4/10/2017,Spring,CHC-CSS-01-SP17,Coastal Sage Scrub,16.691,17.078,0.461,13,16.519,2.064,1.020032633,2.55,0.28,2601.083214,285.6091373,
4/10/2017,Spring,CHC-CSS-02-SP17,Coastal Sage Scrub,53.609,55.446,0.379,48,54.613,9.841,0.849581057,6.06,0.44,5148.461208,373.8156653,
4/10/2017,Spring,CHC-CSS-03-SP17,Coastal Sage Scrub,127.9,130.6,0.375,94,129.7,11.406,1.197434012,1.86,0.11,2227.227262,131.7177413,
4/10/2017,Spring,CHC-CSS-04-SP17,Coastal Sage Scrub,29.518,29.341,0.399,17,28.643,17.72,0.639945324,10.9,0.83,,,the weight of dip 2 was lower than the weight of dip 1 and the percent C/N values were too high and inconsistent with values reported in the literature; the soil clod and loose soil sample were discarded.
4/10/2017,Spring,CHC-CSS-05-SP17,Coastal Sage Scrub,116,119.2,0.425,97,118.1,24.141,0.898937963,2.96,0.23,2660.85637,206.7557314,
4/10/2017,Spring,CHC-CSS-06-SP17,Coastal Sage Scrub,177.9,181.9,0.39,145,180.5,42.766,0.892472924,2.99,0.26,2668.494042,232.0429602,
4/10/2017,Spring,CHC-NNG-01-SP17,Non-Native Grassland,47.917,49.294,0.377,40,48.637,15.816,0.743293264,1.32,0.12,981.147109,89.19519173,
4/10/2017,Spring,CHC-NNG-02-SP17,Non-Native Grassland,42.86,43.975,0.39,30,43.372,13.336,0.915064211,1.27,0.1,1162.131548,91.50642107,
4/10/2017,Spring,CHC-NNG-03-SP17,Non-Native Grassland,18.755,18.892,0.373,11,18.45,6.014,1.073103392,0.8,0.04,858.4827132,42.92413566,
4/10/2017,Spring,CHC-NNG-04-SP17,Non-Native Grassland,88.086,90.188,0.396,68,88.994,38.093,0.681792639,1.43,0.1,974.9634738,68.1792639,
4/10/2017,Spring,CHC-NNG-05-SP17,Non-Native Grassland,194.2,199.1,0.424,140,197.8,80.073,0.768355403,1.19,0.09,914.3429294,69.15198626,
4/10/2017,Spring,CHC-NNG-06-SP17,Non-Native Grassland,45.853,46.92,0.389,31,46.264,12.253,1.016879828,1.11,0.09,1128.73661,91.51918456,
